t=2026-03-29T21:52:56+0100 lvl=info msg="join connections" obj=join id=93899750200b l=[::1]:3000 r=[2001:818:df37:7000:fb3c:58dc:2637:275f]:62901
t=2026-03-29T21:52:56+0100 lvl=info msg="join connections" obj=join id=c42ab5536680 l=[::1]:3000 r=[2001:818:df37:7000:fb3c:58dc:2637:275f]:64472
t=2026-03-29T21:53:21+0100 lvl=info msg="join connections" obj=join id=8886806eb11f l=[::1]:3000 r=[2001:818:df37:7000:fb3c:58dc:2637:275f]:64472
t=2026-03-29T21:53:34+0100 lvl=info msg="join connections" obj=join id=38fe2fe3860c l=[::1]:3000 r=[2001:818:df37:7000:fb3c:58dc:2637:275f]:64472
t=2026-03-29T21:53:45+0100 lvl=info msg="join connections" obj=join id=769e78f351d4 l=[::1]:3000 r=[2001:818:df37:7000:fb3c:58dc:2637:275f]:64472
t=2026-03-29T21:53:45+0100 lvl=info msg="join connections" obj=join id=aa9506ab0381 l=[::1]:3000 r=[2001:818:df37:7000:fb3c:58dc:2637:275f]:64472
t=2026-03-29T21:53:54+0100 lvl=info msg="join connections" obj=join id=5f1eed51f009 l=[::1]:3000 r=[2001:818:df37:7000:fb3c:58dc:2637:275f]:64472
t=2026-03-29T21:55:29+0100 lvl=info msg="join connections" obj=join id=cc9385dbd53b l=[::1]:3000 r=[2001:818:df37:7000:fb3c:58dc:2637:275f]:64472
t=2026-03-29T21:59:03+0100 lvl=info msg="join connections" obj=join id=136ad45b94b1 l=[::1]:3000 r=[2001:818:df37:7000:fb3c:58dc:2637:275f]:64472
t=2026-03-29T21:59:20+0100 lvl=info msg="join connections" obj=join id=72eab3538b52 l=[::1]:3000 r=[2001:818:df37:7000:fb3c:58dc:2637:275f]:64472
